0 0.1 0 0.1 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 0 0.1 1 0.1  1 0 0.961538 0.99497 1.01923 0 0
0 0.1 0 0.1 1 0.15  1 0 0.769231 0.918925 1.01923 0 0
0 0.1 0 0.1 1 0.2  1 0 0.346154 0.790197 1.03846 0 0
0 0.1 0 0.1 1 0.25  1 0 0.0769231 0.72537 1.07692 0 0
0 0.1 0 0.1 1 0.3  1 0 0.0192308 0.669544 1.05769 0 0
0 0.1 0 0.1 1 0.35  1 0 0 0.618983 1.05769 0 0
0 0.1 0 0.1 2 0.1  1 0 0 0.25 1 0 0
0 0.1 0 0.1 2 0.15  1 0 0 0.25 1 0 0
0 0.1 0 0.1 2 0.2  1 0 0 0.25 1 0 0
0 0.1 0 0.1 2 0.25  1 0 0 0.25 1 0 0
0 0.1 0 0.1 2 0.3  1 0 0 0.25 1 0 0
0 0.1 0 0.1 2 0.35  1 0 0 0.25 1 0 0
0 0.1 1 0.1 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.15 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.2 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.25 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.3 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.35 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.4 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.45 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.5 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.55 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.6 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.65 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.7 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.75 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.8 0 0.1  0.9 0 1 1.00312 1 0 0
0 0.1 1 0.85 0 0.1  0.9 0 1 0.999915 1 0 0
0 0.1 1 0.9 0 0.1  0.9 0 1 0.997027 1 0 0
0 0.1 1 0.95 0 0.1  0.9 0 1 0.992603 1 0 0
0 0.1 1 1 0 0.1  0.9 0 1 0.990392 1 0 0
0 0.1 1 1.05 0 0.1  0.9 0 1 0.989101 1 0 0
0 0.1 1 1.1 0 0.1  0.9 0 1 0.98732 1 0 0
0 0.1 1 1.15 0 0.1  0.9 0 1 0.985538 1 0 0
0 0.1 1 1.2 0 0.1  0.9 0 1 0.985108 1 0 0
0 0.1 1 1.25 0 0.1  0.9 0 1 0.983888 1 0 0
0 0.1 1 1.3 0 0.1  0.9 0 1 0.987904 1 0 0
0 0.1 1 1.35 0 0.1  0.9 0 1 0.987904 1 0 0
0 0.1 1 1.4 0 0.1  0.9 0 1 0.987904 1 0 0
0 0.1 1 1.45 0 0.1  0.9 0 1 0.987904 1 0 0
0 0.1 1 1.5 0 0.1  0.9 0 1 0.987904 1 0 0
0 0.1 1 1.55 0 0.1  0.9 0 1 0.987904 1 0 0
0 0.1 1 1.6 0 0.1  0.9 0 1 0.987474 1 0 0
0 0.1 1 1.65 0 0.1  0.9 0 1 0.987474 1 0 0
0 0.1 1 1.7 0 0.1  0.9 0 1 0.987106 1 0 0
0 0.1 1 1.75 0 0.1  0.9 0 1 0.986676 1 0 0
0 0.1 1 1.8 0 0.1  0.9 0 1 0.986184 1 0 0
0 0.1 1 1.85 0 0.1  0.9 0 1 0.985815 1 0 0
0 0.1 1 1.9 0 0.1  0.9 0 1 0.985631 1 0 0
0 0.1 1 1.95 0 0.1  0.9 0 1 0.985385 1 0 0
0 0.1 1 2 0 0.1  0.9 0 1 0.985262 1 0 0
0 0.1 1 2.05 0 0.1  0.9 0 1 0.984587 1 0 0
