0 0.1 0 0.1 0 0.1  0.04 0.166667 1 0.989113 0.5 0.699782 0.890462
0 0.1 0 0.1 1 0.1  0.22 0.222222 1 0.993517 0.875 0.685335 0.816373
0 0.1 0 0.1 1 0.15  0.66 0.444444 1 1 0.875 0.685335 0.784849
0 0.1 0 0.1 1 0.2  0.74 0.388889 1 1 0.875 0.690834 0.772754
0 0.1 0 0.1 1 0.25  0.78 0.444444 1 1 0.875 0.681484 0.760636
0 0.1 0 0.1 1 0.3  0.8 0.277778 1 0.997794 0.875 0.645399 0.747178
0 0.1 0 0.1 1 0.35  0.8 0.166667 1 1 0.75 0.588598 0.711312
0 0.1 0 0.1 2 0.1  0.52 0 0 4.80665e-10 0 0 0
0 0.1 0 0.1 2 0.15  0.52 0 0 4.80665e-10 0 0 0
0 0.1 0 0.1 2 0.2  0.52 0 0 4.80665e-10 0 0 0
0 0.1 0 0.1 2 0.25  0.52 0 0 4.80665e-10 0 0 0
0 0.1 0 0.1 2 0.3  0.52 0 0 4.80665e-10 0 0 0
0 0.1 0 0.1 2 0.35  0.52 0 0 4.80665e-10 0 0 0
0 0.1 1 0.1 0 0.1  0.04 0.166667 1 0.965536 0.75 0.699782 0.890462
0 0.1 1 0.15 0 0.1  0.04 0.166667 1 0.96788 0.75 0.699782 0.890462
0 0.1 1 0.2 0 0.1  0.04 0.166667 1 0.971615 0.625 0.699782 0.890462
0 0.1 1 0.25 0 0.1  0.04 0.166667 1 0.984176 0.875 0.699782 0.890462
0 0.1 1 0.3 0 0.1  0.04 0.166667 1 0.984176 0.875 0.699782 0.890462
0 0.1 1 0.35 0 0.1  0.04 0.166667 1 0.979752 0.875 0.699782 0.890462
0 0.1 1 0.4 0 0.1  0.04 0.166667 1 0.982534 0.875 0.699782 0.890462
0 0.1 1 0.45 0 0.1  0.04 0.166667 1 0.989491 0.875 0.699782 0.890462
0 0.1 1 0.5 0 0.1  0.04 0.166667 1 0.99923 0.875 0.699782 0.890462
0 0.1 1 0.55 0 0.1  0.04 0.166667 1 1 0.875 0.699782 0.890462
0 0.1 1 0.6 0 0.1  0.04 0.166667 1 0.990134 0.875 0.699782 0.890462
0 0.1 1 0.65 0 0.1  0.04 0.166667 1 0.983217 0.75 0.699782 0.890462
0 0.1 1 0.7 0 0.1  0.04 0.166667 1 0.987245 0.5 0.699782 0.890462
